Experiment Title,Hs-His6-PEX5C vs HsPEX5C,,,,,,,,
Well ID,Type,Contents,Protein Name,Protein Concentration,Tracer Name,Tracer Concentration,Competitor Name,Competitor Concentration,Concentration Units
I5,Compound,,HsPEX5C,1975.31,Lissamine-YQSKL,200,,,nM
I6,Compound,,HsPEX5C,1316.87,Lissamine-YQSKL,200,,,nM
I7,Compound,,HsPEX5C,877.91,Lissamine-YQSKL,200,,,nM
I8,Compound,,HsPEX5C,585.28,Lissamine-YQSKL,200,,,nM
I9,Compound,,HsPEX5C,390.18,Lissamine-YQSKL,200,,,nM
I10,Compound,,HsPEX5C,260.12,Lissamine-YQSKL,200,,,nM
I11,Compound,,HsPEX5C,173.42,Lissamine-YQSKL,200,,,nM
I12,Compound,,HsPEX5C,115.61,Lissamine-YQSKL,200,,,nM
I13,Compound,,HsPEX5C,77.07,Lissamine-YQSKL,200,,,nM
I14,Compound,,HsPEX5C,51.38,Lissamine-YQSKL,200,,,nM
I15,Compound,,HsPEX5C,34.25,Lissamine-YQSKL,200,,,nM
I16,Compound,,HsPEX5C,22.84,Lissamine-YQSKL,200,,,nM
I17,Compound,,HsPEX5C,15.22,Lissamine-YQSKL,200,,,nM
I18,Compound,,HsPEX5C,10.15,Lissamine-YQSKL,200,,,nM
I19,Compound,,HsPEX5C,6.77,Lissamine-YQSKL,200,,,nM
I20,Compound,,HsPEX5C,4.51,Lissamine-YQSKL,200,,,nM
I21,Compound,,HsPEX5C,3.01,Lissamine-YQSKL,200,,,nM
I22,Compound,,HsPEX5C,2,Lissamine-YQSKL,200,,,nM
I23,Compound,,HsPEX5C,1.34,Lissamine-YQSKL,200,,,nM
I24,Compound,,HsPEX5C,0,Lissamine-YQSKL,200,,,nM
J1,Compound,,HsPEX5C,10000,,,,,nM
J2,Compound,,HsPEX5C,6666.67,,,,,nM
J3,Compound,,HsPEX5C,4444.44,,,,,nM
J4,Compound,,HsPEX5C,2962.96,,,,,nM
J5,Compound,,HsPEX5C,1975.31,,,,,nM
J6,Compound,,HsPEX5C,1316.87,,,,,nM
J7,Compound,,HsPEX5C,877.91,,,,,nM
J8,Compound,,HsPEX5C,585.28,,,,,nM
J9,Compound,,HsPEX5C,390.18,,,,,nM
J10,Compound,,HsPEX5C,260.12,,,,,nM
J11,Compound,,HsPEX5C,173.42,,,,,nM
J12,Compound,,HsPEX5C,115.61,,,,,nM
J13,Compound,,HsPEX5C,77.07,,,,,nM
J14,Compound,,HsPEX5C,51.38,,,,,nM
J15,Compound,,HsPEX5C,34.25,,,,,nM
J16,Compound,,HsPEX5C,22.84,,,,,nM
J17,Compound,,HsPEX5C,15.22,,,,,nM
J18,Compound,,HsPEX5C,10.15,,,,,nM
J19,Compound,,HsPEX5C,6.77,,,,,nM
J20,Compound,,HsPEX5C,4.51,,,,,nM
J21,Compound,,HsPEX5C,3.01,,,,,nM
J22,Compound,,HsPEX5C,2,,,,,nM
J23,Compound,,HsPEX5C,1.34,,,,,nM
J24,Compound,,HsPEX5C,0,,,,,nM
K1,Compound,,HsPEX5C,10000,,,,,nM
K2,Compound,,HsPEX5C,6666.67,,,,,nM
K3,Compound,,HsPEX5C,4444.44,,,,,nM
K4,Compound,,HsPEX5C,2962.96,,,,,nM
K5,Compound,,HsPEX5C,1975.31,,,,,nM
K6,Compound,,HsPEX5C,1316.87,,,,,nM
K7,Compound,,HsPEX5C,877.91,,,,,nM
K8,Compound,,HsPEX5C,585.28,,,,,nM
K9,Compound,,HsPEX5C,390.18,,,,,nM
K10,Compound,,HsPEX5C,260.12,,,,,nM
K11,Compound,,HsPEX5C,173.42,,,,,nM
K12,Compound,,HsPEX5C,115.61,,,,,nM
K13,Compound,,HsPEX5C,77.07,,,,,nM
K14,Compound,,HsPEX5C,51.38,,,,,nM
K15,Compound,,HsPEX5C,34.25,,,,,nM
K16,Compound,,HsPEX5C,22.84,,,,,nM
K17,Compound,,HsPEX5C,15.22,,,,,nM
K18,Compound,,HsPEX5C,10.15,,,,,nM
K19,Compound,,HsPEX5C,6.77,,,,,nM
K20,Compound,,HsPEX5C,4.51,,,,,nM
K21,Compound,,HsPEX5C,3.01,,,,,nM
K22,Compound,,HsPEX5C,2,,,,,nM
K23,Compound,,HsPEX5C,1.34,,,,,nM
K24,Compound,,HsPEX5C,0,,,,,nM
L1,Compound,,HsPEX5C,10000,,,,,nM
L2,Compound,,HsPEX5C,6666.67,,,,,nM
L3,Compound,,HsPEX5C,4444.44,,,,,nM
L4,Compound,,HsPEX5C,2962.96,,,,,nM
L5,Compound,,HsPEX5C,1975.31,,,,,nM
L6,Compound,,HsPEX5C,1316.87,,,,,nM
L7,Compound,,HsPEX5C,877.91,,,,,nM
L8,Compound,,HsPEX5C,585.28,,,,,nM
L9,Compound,,HsPEX5C,390.18,,,,,nM
L10,Compound,,HsPEX5C,260.12,,,,,nM
L11,Compound,,HsPEX5C,173.42,,,,,nM
L12,Compound,,HsPEX5C,115.61,,,,,nM
L13,Compound,,HsPEX5C,77.07,,,,,nM
L14,Compound,,HsPEX5C,51.38,,,,,nM
L15,Compound,,HsPEX5C,34.25,,,,,nM
L16,Compound,,HsPEX5C,22.84,,,,,nM
L17,Compound,,HsPEX5C,15.22,,,,,nM
L18,Compound,,HsPEX5C,10.15,,,,,nM
L19,Compound,,HsPEX5C,6.77,,,,,nM
L20,Compound,,HsPEX5C,4.51,,,,,nM
L21,Compound,,HsPEX5C,3.01,,,,,nM
L22,Compound,,HsPEX5C,2,,,,,nM
L23,Compound,,HsPEX5C,1.34,,,,,nM
L24,Compound,,HsPEX5C,0,,,,,nM
M1,,,,,,,,,
M2,,,,,,,,,
M3,,,,,,,,,
M4,,,,,,,,,
M5,,,,,,,,,
M6,,,,,,,,,
M7,,,,,,,,,
M8,,,,,,,,,
M9,,,,,,,,,
M10,,,,,,,,,
M11,,,,,,,,,
M12,,,,,,,,,
M13,,,,,,,,,
M14,,,,,,,,,
M15,,,,,,,,,
M16,,,,,,,,,
M17,,,,,,,,,
M18,,,,,,,,,
M19,,,,,,,,,
M20,,,,,,,,,
M21,,,,,,,,,
M22,,,,,,,,,
M23,,,,,,,,,
M24,,,,,,,,,
N1,,,,,,,,,
N2,,,,,,,,,
N3,,,,,,,,,
N4,,,,,,,,,
N5,,,,,,,,,
N6,,,,,,,,,
N7,,,,,,,,,
N8,,,,,,,,,
N9,,,,,,,,,
N10,,,,,,,,,
N11,,,,,,,,,
N12,,,,,,,,,
N13,,,,,,,,,
N14,,,,,,,,,
N15,,,,,,,,,
N16,,,,,,,,,
N17,,,,,,,,,
N18,,,,,,,,,
N19,,,,,,,,,
N20,,,,,,,,,
N21,,,,,,,,,
N22,,,,,,,,,
N23,,,,,,,,,
N24,,,,,,,,,
O1,,,,,,,,,
O2,,,,,,,,,
O3,,,,,,,,,
